track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,danceability_%,valence_%,energy_%,instrumentalness_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,80,89,83,0
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,71,61,74,0
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,51,32,53,0
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,55,58,72,0
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,65,23,80,63
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,92,66,58,0
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,67,83,76,0
Columbia,Quevedo,1,2023,7,7,714,43,58149378,67,26,71,0
fukumean,Gunna,1,2023,5,15,1096,83,95217315,85,22,62,0
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,81,56,48,0
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,57,56,72,0
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,78,52,82,0
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,71,65,68,0
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,51,32,43,0
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,52,66,73,0
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,64,43,73,17
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,78,76,59,0
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,44,14,9,0
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,86,67,66,0
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,63,36,73,0
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,65,87,74,0
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,69,82,76,0
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,48,44,42,2
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,85,81,67,0
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,85,83,68,0
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,79,96,86,0
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384,80,82,80,0
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,81,74,71,0
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,52,68,0
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,67,78,85,0
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,74,35,84,0
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,56,63,87,0
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,71,17,61,0
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,64,51,63,0
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,72,61,63,0
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,81,63,68,0
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,61,39,73,0
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,75,57,68,0
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,60,48,79,0
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,79,96,85,0
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,56,84,65,0
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,76,91,50,0
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,56,38,97,0
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,56,58,56,0
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,77,75,58,0
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,67,49,64,0
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,71,82,81,0
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,59,51,52,0
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,68,49,59,0
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,53,50,53,0
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,72,17,64,0
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,60,23,91,0
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,92,55,70,0
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,67,96,88,19
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,45,13,54,0
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,50,38,80,0
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,64,88,72,0
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,84,85,68,0
S91,Karol G,1,2023,7,14,525,41,16011326,86,42,72,0
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,61,53,58,0
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,86,59,96,1
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,70,86,81,0
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,88,72,59,0
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728,77,53,64,0
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,90,40,59,0
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,43,28,66,0
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,64,10,62,0
People,Libianca,1,2022,12,2,3506,56,373199958,59,71,42,0
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,56,48,73,0
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,51,22,53,0
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,77,84,89,0
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,76,53,53,0
golden hour,JVKE,1,2022,7,15,4511,36,751134527,51,14,59,18
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,61,41,81,2
